Point(603.7503544201707, 390.98266795722424, 268.48603869370754), Point(578.8532290618722, 379.3376784851097, 321.03281092884345), Point(470.2686720103797, 356.6654708131285, 264.65125368168896)
Point(603.7503544201707, 390.98266795722424, 268.48603869370754), Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(470.2686720103797, 356.6654708131285, 264.65125368168896)
Point(578.8532290618722, 379.3376784851097, 321.03281092884345), Point(470.2686720103797, 356.6654708131285, 264.65125368168896), Point(639.7194326154442, 140.92691168757176, 294.46464102116437)
Point(470.2686720103797, 356.6654708131285, 264.65125368168896), Point(639.7194326154442, 140.92691168757176, 294.46464102116437), Point(531.0726907413342, 119.61082278839687, 238.08308377400988)
Point(603.7503544201707, 390.98266795722424, 268.48603869370754), Point(578.8532290618722, 379.3376784851097, 321.03281092884345), Point(664.2322512101156, 153.75096390539323, 241.91786878602846)
Point(578.8532290618722, 379.3376784851097, 321.03281092884345), Point(664.2322512101156, 153.75096390539323, 241.91786878602846), Point(639.7194326154442, 140.92691168757176, 294.46464102116437)
Point(603.7503544201707, 390.98266795722424, 268.48603869370754), Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(664.2322512101156, 153.75096390539323, 241.91786878602846)
Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(664.2322512101156, 153.75096390539323, 241.91786878602846), Point(555.9851078290726, 132.47053966107217, 185.53631153887395)
Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(470.2686720103797, 356.6654708131285, 264.65125368168896), Point(555.9851078290726, 132.47053966107217, 185.53631153887395)
Point(470.2686720103797, 356.6654708131285, 264.65125368168896), Point(555.9851078290726, 132.47053966107217, 185.53631153887395), Point(531.0726907413342, 119.61082278839687, 238.08308377400988)
Point(664.2322512101156, 153.75096390539323, 241.91786878602846), Point(639.7194326154442, 140.92691168757176, 294.46464102116437), Point(531.0726907413342, 119.61082278839687, 238.08308377400988)
Point(664.2322512101156, 153.75096390539323, 241.91786878602846), Point(555.9851078290726, 132.47053966107217, 185.53631153887395), Point(531.0726907413342, 119.61082278839687, 238.08308377400988)
Point(611.0591485297793, 408.20400753328687, 108.92832948229042), Point(549.511391558315, 379.63547100622463, 240.29526007013027), Point(495.5653958617453, 368.346124940097, 212.10448144655302)
Point(611.0591485297793, 408.20400753328687, 108.92832948229042), Point(557.6126509495435, 396.9592422857265, 80.73755085871318), Point(495.5653958617453, 368.346124940097, 212.10448144655302)
Point(549.511391558315, 379.63547100622463, 240.29526007013027), Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(609.9621959369513, 143.0818263407968, 213.7270901624512)
Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(609.9621959369513, 143.0818263407968, 213.7270901624512), Point(555.9851078290726, 132.47053966107217, 185.53631153887395)
Point(611.0591485297793, 408.20400753328687, 108.92832948229042), Point(549.511391558315, 379.63547100622463, 240.29526007013027), Point(670.5491859993476, 174.59801973212615, 82.36015957461134)
Point(549.511391558315, 379.63547100622463, 240.29526007013027), Point(670.5491859993476, 174.59801973212615, 82.36015957461134), Point(609.9621959369513, 143.0818263407968, 213.7270901624512)
Point(611.0591485297793, 408.20400753328687, 108.92832948229042), Point(557.6126509495435, 396.9592422857265, 80.73755085871318), Point(670.5491859993476, 174.59801973212615, 82.36015957461134)
Point(557.6126509495435, 396.9592422857265, 80.73755085871318), Point(670.5491859993476, 174.59801973212615, 82.36015957461134), Point(617.071596007803, 164.0313138709691, 54.1693809510341)
Point(557.6126509495435, 396.9592422857265, 80.73755085871318), Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(617.071596007803, 164.0313138709691, 54.1693809510341)
Point(495.5653958617453, 368.346124940097, 212.10448144655302), Point(617.071596007803, 164.0313138709691, 54.1693809510341), Point(555.9851078290726, 132.47053966107217, 185.53631153887395)
Point(670.5491859993476, 174.59801973212615, 82.36015957461134), Point(609.9621959369513, 143.0818263407968, 213.7270901624512), Point(555.9851078290726, 132.47053966107217, 185.53631153887395)
Point(670.5491859993476, 174.59801973212615, 82.36015957461134), Point(617.071596007803, 164.0313138709691, 54.1693809510341), Point(555.9851078290726, 132.47053966107217, 185.53631153887395)
Point(346.7563322814578, 352.55869014420296, -32.025563635595795), Point(149.50107016227446, 263.6621484053979, 362.07522812792376), Point(96.02091405946564, 252.5728951264943, 333.8844495043465)
Point(346.7563322814578, 352.55869014420296, -32.025563635595795), Point(294.77467052765076, 341.6031793210017, -60.21634225917304), Point(96.02091405946564, 252.5728951264943, 333.8844495043465)
Point(149.50107016227446, 263.6621484053979, 362.07522812792376), Point(96.02091405946564, 252.5728951264943, 333.8844495043465), Point(211.71794630250238, 24.603486943451166, 335.5070582202447)
Point(96.02091405946564, 252.5728951264943, 333.8844495043465), Point(211.71794630250238, 24.603486943451166, 335.5070582202447), Point(158.2066977883848, 14.192293050950596, 307.3162795966674)
Point(346.7563322814578, 352.55869014420296, -32.025563635595795), Point(149.50107016227446, 263.6621484053979, 362.07522812792376), Point(406.0909076944821, 122.34299927505815, -58.59373354327487)
Point(149.50107016227446, 263.6621484053979, 362.07522812792376), Point(406.0909076944821, 122.34299927505815, -58.59373354327487), Point(211.71794630250238, 24.603486943451166, 335.5070582202447)
Point(346.7563322814578, 352.55869014420296, -32.025563635595795), Point(294.77467052765076, 341.6031793210017, -60.21634225917304), Point(406.0909076944821, 122.34299927505815, -58.59373354327487)
Point(294.77467052765076, 341.6031793210017, -60.21634225917304), Point(406.0909076944821, 122.34299927505815, -58.59373354327487), Point(354.0781535293663, 112.06554783826, -86.78451216685212)
