Plane 42: Normal=<Point.Point object at 0x73770777c830>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 5: Normal=<Point.Point object at 0x73770776d100>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 43: Normal=<Point.Point object at 0x73770777c9b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 6: Normal=<Point.Point object at 0x73770776d280>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 44: Normal=<Point.Point object at 0x73770777cb30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 45: Normal=<Point.Point object at 0x73770777ccb0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 7: Normal=<Point.Point object at 0x73770776d400>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 46: Normal=<Point.Point object at 0x73770777ce30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 8: Normal=<Point.Point object at 0x73770776d580>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 47: Normal=<Point.Point object at 0x73770777cfb0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 9: Normal=<Point.Point object at 0x73770776d700>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 48: Normal=<Point.Point object at 0x73770777d130>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 10: Normal=<Point.Point object at 0x73770776d880>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 49: Normal=<Point.Point object at 0x73770777d2b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 11: Normal=<Point.Point object at 0x73770776da00>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 50: Normal=<Point.Point object at 0x73770777d430>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 12: Normal=<Point.Point object at 0x73770776db80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 51: Normal=<Point.Point object at 0x73770777d5b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 13: Normal=<Point.Point object at 0x73770776dd00>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 52: Normal=<Point.Point object at 0x73770777d730>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 14: Normal=<Point.Point object at 0x73770776de80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 53: Normal=<Point.Point object at 0x73770777d8b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 15: Normal=<Point.Point object at 0x73770776e000>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 54: Normal=<Point.Point object at 0x73770777da30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 16: Normal=<Point.Point object at 0x73770776e180>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 55: Normal=<Point.Point object at 0x73770777dbb0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 17: Normal=<Point.Point object at 0x73770776e300>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 56: Normal=<Point.Point object at 0x73770777dd30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 18: Normal=<Point.Point object at 0x73770776e480>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 57: Normal=<Point.Point object at 0x73770777deb0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 19: Normal=<Point.Point object at 0x73770776e600>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 58: Normal=<Point.Point object at 0x73770777e030>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 20: Normal=<Point.Point object at 0x73770776e780>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 59: Normal=<Point.Point object at 0x73770777e1b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 21: Normal=<Point.Point object at 0x73770776e900>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 60: Normal=<Point.Point object at 0x73770777e330>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 22: Normal=<Point.Point object at 0x73770776ea80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 61: Normal=<Point.Point object at 0x73770777e4b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 23: Normal=<Point.Point object at 0x73770776ec00>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 62: Normal=<Point.Point object at 0x73770777e630>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 24: Normal=<Point.Point object at 0x73770776ed80>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 63: Normal=<Point.Point object at 0x73770777e7b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 25: Normal=<Point.Point object at 0x73770776ef00>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 64: Normal=<Point.Point object at 0x73770777e930>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 65: Normal=<Point.Point object at 0x73770777eab0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#ccccccPlane 26: Normal=<Point.Point object at 0x73770776f080>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc

Plane 66: Normal=<Point.Point object at 0x73770777ec30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 27: Normal=<Point.Point object at 0x73770776f200>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 67: Normal=<Point.Point object at 0x73770777edb0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 28: Normal=<Point.Point object at 0x73770776f380>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 68: Normal=<Point.Point object at 0x73770777ef30>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 29: Normal=<Point.Point object at 0x73770776f500>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 69: Normal=<Point.Point object at 0x73770777f0b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 30: Normal=<Point.Point object at 0x73770776f680>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 70: Normal=<Point.Point object at 0x73770777f230>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 31: Normal=<Point.Point object at 0x73770776f800>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 71: Normal=<Point.Point object at 0x73770777f3b0>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 32: Normal=<Point.Point object at 0x73770776f980>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 72: Normal=<Point.Point object at 0x73770777f530>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
Plane 33: Normal=<Point.Point object at 0x73770776fb00>, DiffuseIntensity=0.0, BaseColor=#cccccc, FinalColor=#cccccc
